sat_name|Eb/N0,0,2,4,5,6,7,8,9,10,11,12
0 AEROCUBE 8C,10,5,0,0,0,0,0,0,0,0,0
0 AEROCUBE 8D,10,1,0,0,0,0,0,0,0,0,0
0 CUTE-1,10,4,0,0,0,0,0,0,0,0,0
0 FUNCUBE 1,8,0,0,0,0,0,0,0,0,0,0
0 M2 PATHFINDER,10,4,0,0,0,0,0,0,0,0,0
0 OBJECT C,10,3,1,1,0,0,0,0,0,0,0
0 OBJECT N,10,3,1,1,1,1,0,0,0,0,0
0 POLYITAN 1,10,3,0,0,0,0,0,0,0,0,0
0 POPACS 2,10,4,1,0,0,0,0,0,0,0,0
0 TIGRISAT,10,4,0,0,0,0,0,0,0,0,0
