mean_BER,EbN0_dB
0.126837279448186,0
0.0546066302248317,2
0.0155356265438115,4
0.0066298314546133,5
0.00231789293713846,6
0.000631200398691628,7
0.000125625441380651,8
1.68648126432677e-05,9
1.38030017027803e-06,10
6.06370126209211e-08,11
1.21785069522713e-09,12
