azimuth,zenith
294.144189406142,84.9994338804903
293.965310726312,84.9737462367578
293.786088115662,84.9482463223222
293.606523609042,84.922935444605
293.426619273713,84.8978149080182
293.246377209368,84.87288601376
293.065799548102,84.8481500596281
292.884888454446,84.823608339792
292.703646125326,84.7992621446029
292.522074790053,84.7751127603853
292.340176710324,84.7511614692033
292.15795418016,84.7274095486809
291.975409525874,84.7038582717771
291.792545106047,84.6805089065674
291.609363311466,84.6573627160303
291.425866565051,84.6344209578507
291.242057321812,84.6116848841806
291.057938068773,84.5891557414313
290.873511324878,84.5668347700651
290.688779640921,84.5447232043646
290.503745599445,84.5228222722195
290.318411814637,84.5011331949115
290.132780932229,84.4796571868866
289.946855629381,84.458395455541
289.760638614542,84.437349201002
289.574132627344,84.4165196159011
289.387340438439,84.395907885162
289.200264849378,84.375515185769
289.012908692427,84.355342686564
288.825274830441,84.3353915480017
288.63736615667,84.3156629219464
288.449185594584,84.2961579514561
288.260736097706,84.2768777705403
288.072020649404,84.2578235039624
287.883042262703,84.2389962670026
287.693803980061,84.2203971652623
287.504308873175,84.2020272944227
287.314560042751,84.1838877400317
287.124560618265,84.1659795773045
286.934313757729,84.1483038708917
286.74382264747,84.1308616746555
286.553090501832,84.1136540314854
286.362120562951,84.0966819730622
286.170916100479,84.0799465196435
285.979480411295,84.0634486798773
285.787816819237,84.0471894505665
285.59592867481,84.0311698164746
285.403819354871,84.0153907501213
285.211492262345,83.9998532115712
285.018950825902,83.9845581482311
284.826198499632,83.9695064946564
284.633238762728,83.9546991723402
284.440075119139,83.9401370895311
284.246711097243,83.9258211410203
284.053150249473,83.9117522079689
283.859396151994,83.8979311576918
283.665452404313,83.8843588434867
283.471322628916,83.8710361044519
283.277010470899,83.857963765279
283.08251959758,83.845142636091
282.887853698094,83.8325735122655
282.693016483023,83.8202571742383
282.498011683974,83.8081943873449
282.302843053167,83.7963859016564
282.107514363035,83.7848324517861
281.912029405787,83.7735347567521
281.716391992988,83.7624935197974
281.520605955119,83.7517094282364
281.324675141138,83.7411831533053
281.12860341804,83.7309153499935
280.932394670397,83.7209066569134
280.736052799907,83.7111576961449
280.539581724929,83.7016690730889
280.342985380014,83.6924413763401
280.146267715435,83.6834751775404
279.949432696713,83.6747710312524
279.752484304121,83.6663294748358
279.555426532216,83.6581510283128
279.358263389324,83.6502361942595
279.160998897069,83.6425854576799
278.963637089851,83.6351992858996
278.766182014359,83.6280781284499
278.568637729045,83.6212224169755
278.371008303624,83.6146325651274
278.173297818558,83.6083089684575
277.97551036453,83.6022520043431
277.77765004192,83.5964620318945
277.579720960289,83.5909393918632
277.381727237848,83.585684406563
277.183673000912,83.5806973798143
276.985562383383,83.5759785968505
276.787399526209,83.5715283242565
276.589188576833,83.5673468099273
276.390933688667,83.5634342829799
276.192639020547,83.5597909537209
275.99430873617,83.5564170136024
275.795947003573,83.5533126351571
275.597557994568,83.5504779719777
275.399145884196,83.54791315868
275.20071485018,83.5456183108656
275.002269072371,83.5435935251023
274.803812732195,83.5418388789032
274.605350012101,83.5403544307174
274.406885095016,83.5391402198998
274.208422163778,83.5381962667209
274.009965400591,83.5375225723706
273.811518986472,83.5371191189371
273.613087100702,83.5369858694355
273.414673920262,83.5371227678156
273.216283619296,83.5375297389722
273.017920368556,83.5382066887699
272.819588334844,83.539153504075
272.62129168048,83.5403700527781
272.423034562743,83.5418561838309
272.224821133336,83.5436117272838
272.026655537832,83.545636494347
271.828541915147,83.5479302774158
271.630484396987,83.5504928501362
271.432487107324,83.5533239674658
271.234554161856,83.5564233657264
271.036689667477,83.5597907626823
270.838897721748,83.5634258576002
270.641182412376,83.5673283313344
270.443547816691,83.5714978463943
270.245998001117,83.5759340470485
270.048537020675,83.5806365593997
269.85116891846,83.5856049914634
269.653897725134,83.5908389333002
269.456727458426,83.5963379570903
269.259662122634,83.6021016172382
269.062705708124,83.6081294504914
268.865862190844,83.6144209760581
268.669135531838,83.620975695708
268.472529676765,83.6277930938962
268.276048555417,83.6348726379069
268.079696081258,83.642213777952
267.883476150949,83.6498159473216
267.687392643889,83.6576785625242
267.491449421767,83.6658010234028
267.295650328097,83.6741827132969
267.099999187791,83.6828229991851
266.904499806705,83.6917212318247
266.709155971221,83.7008767459152
266.513971447805,83.7102888602503
266.318949982602,83.7199568778658
266.124095301006,83.7298800862214
265.92941110727,83.7400577573445
265.734901084083,83.7504891480203
265.540568892197,83.7611734999353
265.34641817002,83.7721100398703
265.152452533248,83.783297979873
264.958675574478,83.7947365174292
264.765090862853,83.8064248356471
264.57170194369,83.8183621034464
264.378512338126,83.830547475735
264.18552554278,83.8429800935947
263.992745029402,83.8556590844902
263.800174244549,83.8685835624365
263.607816609253,83.8817526282111
263.415675518706,83.8951653695399
263.223754341949,83.9088208612979
263.032056421565,83.9227181657151
262.840585073388,83.9368563325654
262.649343586208,83.951234399384
262.4583352215,83.9658513916609
262.267563213137,83.9807063230452
262.077030767135,83.9957981955706
261.886741061388,84.0111259998437
261.696697245423,84.0266887152558
261.506902440149,84.0424853102158
261.317359737631,84.0585147423292
261.128072200853,84.074775958634
260.939042863504,84.0912678958148
260.750274729766,84.1079894804037
260.561770774101,84.1249396289984
260.373533941067,84.1421172484971
260.185567145113,84.1595212362871
259.997873270413,84.1771504804751
259.810455170678,84.1950038601161
259.623315669004,84.2130802454107
259.436457557695,84.2313784979302
259.249883598131,84.2498974708388
259.063596520608,84.2686360091126
258.877599024214,84.2875929497474
258.691893776692,84.3067671219908
258.506483414323,84.3261573475476
258.321370541811,84.345762440803
