RMSE_fD,time
NaN,0
NaN,0.833333333333333
NaN,1.66666666666667
NaN,2.5
0.0361726485700014,3.33333333333333
0.0286869582601821,4.16666666666667
0.0270780289583011,5
0.0263655858052304,5.83333333333333
0.0260842912243602,6.66666666666667
0.0213227283402936,7.5
0.0251916556887679,8.33333333333333
0.0258596864416887,9.16666666666667
0.0290807003965559,10
0.0289359455806538,10.8333333333333
0.0264147474158325,11.6666666666667
0.0275458837008903,12.5
0.0289904715848439,13.3333333333333
0.0264123342906568,14.1666666666667
0.0275832577806637,15
0.02417690614069,15.8333333333333
0.0245507318213356,16.6666666666667
0.0278010395841536,17.5
0.0245898839468485,18.3333333333333
0.0252082181594081,19.1666666666667
0.0253523012151165,20
0.0243704525106901,20.8333333333333
0.027574900948592,21.6666666666667
0.028775514617463,22.5
0.0271390633170285,23.3333333333333
0.0258899131591674,24.1666666666667
0.0293318531657107,25
0.0305124247155079,25.8333333333333
0.0333370100114844,26.6666666666667
0.0280850012651291,27.5
0.0303058398452827,28.3333333333333
0.0301934251467015,29.1666666666667
0.0267108809827448,30
0.0307096946273751,30.8333333333333
0.0310470557201338,31.6666666666667
0.0341454990519385,32.5
0.0326049517979446,33.3333333333333
0.0241349376452572,34.1666666666667
0.0235866094774896,35
0.0261521957685907,35.8333333333333
0.0267198621628761,36.6666666666667
0.027812448249827,37.5
0.025250839790227,38.3333333333333
0.0233097815620024,39.1666666666667
0.022126878959273,40
0.0196039923385423,40.8333333333333
0.0181858197021125,41.6666666666667
0.0199931425400302,42.5
0.020685741846473,43.3333333333333
0.0198191111674375,44.1666666666667
0.0170769442437915,45
0.0205256565641687,45.8333333333333
0.0222935521780557,46.6666666666667
0.0248546789031164,47.5
0.0258195430048313,48.3333333333333
0.0241890919594134,49.1666666666667
0.0279029534566775,50
0.0286789103179176,50.8333333333333
0.0286973307425319,51.6666666666667
0.0264224843974704,52.5
0.0238979150369715,53.3333333333333
0.0218132977935357,54.1666666666667
0.0225866089323264,55
0.0221174263083186,55.8333333333333
