mean_BER,EbN0_dB
0.115036964358738,0
0.0480821380570299,2
0.0125870026699195,4
0.00505233070156217,5
0.0016588951027284,6
0.000431541616829565,7
7.39705876195567e-05,8
1.20027745948715e-05,9
2.79134292903988e-07,10
0,11
0,12
