mean_BER,EbN0_dB
0.30691497257227,0
0.23176832881694,2
0.149503865603782,4
0.110426268240102,5
0.0757884454051402,6
0.0475265070112313,7
0.0266722275422427,8
0.013049791767652,9
0.00537977094011309,10
0.00178531885521319,11
0.000448435812866129,12
