mean_BER,EbN0_dB
NaN,0
0.175832189281513,2
0.0127609496339751,4
0.00632088114181273,5
0.0016650074893727,6
0.000423772947970996,7
7.89455877845926e-05,8
9.81399317820695e-06,9
1.12262944761801e-06,10
1.02129761878274e-07,11
0,12
