trace,time
3.29071815655048,0
3.29071815655048,0.00166666666666667
3.29071815655048,0.00333333333333333
3.29071815655048,0.005
3.29071815655048,0.00666666666666667
3.29071815655048,0.00833333333333333
3.29071815655048,0.01
3.29071815655048,0.0116666666666667
3.29071815655048,0.0133333333333333
3.29071815655048,0.015
3.29071815655048,0.0166666666666667
3.29071815655048,0.0183333333333333
3.29071815655048,0.02
0.152063379312118,0.0216666666666667
0.0528699175391144,0.0233333333333333
0.0322872452105411,0.025
0.0233952773612602,0.0266666666666667
0.0184417366797397,0.0283333333333333
0.015287781150588,0.03
0.0131059194277278,0.0316666666666667
0.0115085758113209,0.0333333333333333
0.0102900475842221,0.035
0.00933102448175509,0.0366666666666667
0.00855754358695909,0.0383333333333333
0.00792131430199833,0.04
0.00738946916959764,0.0416666666666667
0.00693886177170698,0.0433333333333333
0.00655272020519971,0.045
0.00621859397625136,0.0466666666666667
0.00592704639020917,0.0483333333333333
0.00567079464864232,0.05
0.00544412847113801,0.0516666666666667
0.00524250738195571,0.0533333333333333
0.00506227572562879,0.055
0.0049004571240556,0.0566666666666667
0.00475460368638264,0.0583333333333333
0.00462268367903903,0.06
0.00450299667810253,0.0616666666666667
0.00439410866694892,0.0633333333333333
0.00429480181540559,0.065
0.00420403520657134,0.0666666666666667
0.00412091382467431,0.0683333333333333
0.00404466384532249,0.07
0.00397461278283924,0.0716666666666667
0.00391017341615776,0.0733333333333333
0.00385083068003537,0.075
0.00379613090241538,0.0766666666666667
0.00374567291224,0.0783333333333333
0.00369910064914486,0.08
0.00365609698719409,0.0816666666666667
0.00361637854618236,0.0833333333333333
0.00357969131105962,0.085
0.0035458069163559,0.0866666666666667
0.00351451948073732,0.0883333333333333
0.00348564289895553,0.09
0.00345900851589908,0.0916666666666667
0.00343446312129442,0.0933333333333333
0.00341186721464595,0.095
0.00339109349886306,0.0966666666666667
0.00337202556816724,0.0983333333333333
0.00335455676166445,0.1
0.00333858915868515,0.101666666666667
0.00332403269585511,0.103333333333333
0.00331080438903265,0.105
0.00329882764586636,0.106666666666667
0.00328803165689732,0.108333333333333
0.00327835085493461,0.11
0.00326972443393996,0.111666666666667
0.00326209591992037,0.113333333333333
0.00325541278738874,0.115
0.00324962611584856,0.116666666666667
0.0032446902815163,0.118333333333333
0.00324056268013854,0.12
0.00323720347730836,0.121666666666667
0.00323457538315301,0.123333333333333
0.00323264344866532,0.125
0.00323137488129444,0.126666666666667
0.00323073887770732,0.128333333333333
0.00323070647188727,0.13
0.00323125039695652,0.131666666666667
0.00323234495930051,0.133333333333333
0.00323396592373794,0.135
0.00323609040862508,0.136666666666667
0.00323869678990862,0.138333333333333
0.00324176461325192,0.14
0.00324527451345576,0.141666666666667
0.00324920814047958,0.143333333333333
0.00325354809144355,0.145
0.00325827784805738,0.146666666666667
0.00326338171897996,0.148333333333333
0.00326884478666452,0.15
0.00327465285829003,0.151666666666667
0.00328079242041894,0.153333333333333
0.00328725059705775,0.155
0.00329401511082811,0.156666666666667
0.00330107424698476,0.158333333333333
0.00330841682004167,0.16
0.00331603214279037,0.161666666666667
0.00332390999751458,0.163333333333333
0.00333204060922333,0.165
0.00334041462074102,0.166666666666667
0.00334902306950745,0.168333333333333
0.00335785736595372,0.17
0.00336690927333206,0.171666666666667
0.00337617088888808,0.173333333333333
0.00338563462627346,0.175
0.00339529319910595,0.176666666666667
0.00340513960559139,0.178333333333333
0.00341516711412935,0.18
0.00342536924983083,0.181666666666667
0.00343573978188185,0.183333333333333
0.00344627271169258,0.185
0.00345696226177603,0.186666666666667
0.00346780286530508,0.188333333333333
0.00347878915630047,0.19
0.00348991596040609,0.191666666666667
0.00350117828621125,0.193333333333333
0.00351257131708272,0.195
0.00352409040347194,0.196666666666667
0.00353573105566576,0.198333333333333
0.00354748893695095,0.2
0.0035593598571652,0.201666666666667
0.00357133976660924,0.203333333333333
0.00358342475029649,0.205
0.00359561102251828,0.206666666666667
0.00360789492170443,0.208333333333333
0.00362027290556016,0.21
0.00363274154646173,0.211666666666667
0.00364529752709446,0.213333333333333
0.00365793763631783,0.215
0.00367065876524336,0.216666666666667
0.00368345790351205,0.218333333333333
0.00369633213575899,0.22
0.00370927863825353,0.221666666666667
0.00372229467570415,0.223333333333333
0.00373537759821801,0.225
0.00374852483840576,0.226666666666667
0.00376173390862262,0.228333333333333
0.0037750023983376,0.23
0.00378832797162313,0.231666666666667
0.00380170836475774,0.233333333333333
0.00381514138393512,0.235
0.0038286249030732,0.236666666666667
0.00384215686171721,0.238333333333333
0.00385573526303123,0.24
0.00386935817187304,0.241666666666667
0.00388302371294716,0.243333333333333
0.00389673006903183,0.245
0.00391047547927527,0.246666666666667
0.00392425823755743,0.248333333333333
0.00393807669091337,0.25
0.00395192923801466,0.251666666666667
0.00396581432770559,0.253333333333333
0.00397973045759094,0.255
0.00399367617267255,0.256666666666667
0.00400765006403178,0.258333333333333
0.00402165076755539,0.26
0.00403567696270247,0.261666666666667
0.00404972737131,0.263333333333333
0.00406380075643519,0.265
0.00407789592123232,0.266666666666667
0.00409201170786252,0.268333333333333
0.00410614699643457,0.27
0.00412030070397511,0.271666666666667
0.00413447178342693,0.273333333333333
0.00414865922267364,0.275
0.00416286204358967,0.276666666666667
0.00417707930111418,0.278333333333333
0.00419131008234779,0.28
0.00420555350567116,0.281666666666667
0.00421980871988416,0.283333333333333
0.004234074903365,0.285
0.00424835126324822,0.286666666666667
0.00426263703462088,0.288333333333333
0.00427693147973605,0.29
0.00429123388724307,0.291666666666667
0.00430554357143377,0.293333333333333
