azimuth,zenith
116.331748970787,84.9627159872884
116.16223015213,84.9244474553071
115.992179566441,84.8862979400737
115.821597149643,84.8482690922572
115.650482871722,84.8103625732424
115.478836737165,84.7725800550538
115.306658785411,84.7349232202504
115.133949091333,84.6973937618199
114.960707765656,84.6599933830808
114.786934955441,84.622723797563
114.612630844529,84.5855867288928
114.437795653981,84.5485839106869
114.262429642548,84.5117170864103
114.086533107115,84.4749880092633
113.910106383146,84.4383984420306
113.733149845136,84.4019501569597
113.555663907066,84.3656449356047
113.377649022829,84.3294845686897
113.199105686686,84.2934708559502
113.02003443371,84.2576056059759
112.840435840212,84.2218906360424
112.660310524183,84.1863277719629
112.479659145731,84.1509188478872
112.298482407508,84.1156657061499
112.116781055134,84.0805701970776
111.934555877617,84.0456341788019
111.751807707794,84.0108595170617
111.568537422721,83.976248085016
111.3847459441,83.9418017630298
111.200434238689,83.9075224384753
111.015603318694,83.8734120055189
110.830254242179,83.8394723648892
110.644388113459,83.8057054236724
110.458006083487,83.7721130950668
110.271109350231,83.7386972981587
110.083699159071,83.7054599576861
109.89577680315,83.6724030037785
109.707343623757,83.6395283717219
109.518401010682,83.6068380017054
109.328950402566,83.5743338385388
109.138993287251,83.5420178314187
108.948531202129,83.5098919336365
108.757565734458,83.4779581023028
108.566098521699,83.4462182980819
108.374131251837,83.4146744848914
108.181665663679,83.3833286296118
107.988703547164,83.3521827018004
107.795246743664,83.3212386733765
107.601297146245,83.2904985183303
107.406856699971,83.2599642123968
107.211927402145,83.2296377327544
107.016511302593,83.1995210576819
106.820610503888,83.1696161662624
106.624227161595,83.1399250380242
106.42736348451,83.1104496526268
106.230021734863,83.0811919895033
106.032204228524,83.0521540275337
105.833913335213,83.0233377446829
105.635151478674,82.9947451176471
105.435921136842,82.9663781215023
105.236224842022,82.9382387293451
105.036065181027,82.9103289119092
104.83544479531,82.8826506372202
104.634366381111,82.8552058701918
104.432832689545,82.8279965722719
104.230846526716,82.8010247010546
104.028410753809,82.7742922098803
103.825528287143,82.7478010474663
103.622202098255,82.7215531575019
103.41843521394,82.6955504782456
103.214230716269,82.6697949421451
103.009591742629,82.6442884754211
102.804521485721,82.6190329976631
102.599023193542,82.5940304214169
102.39310016937,82.5692826517851
102.186755771729,82.5447915860004
101.97999341432,82.5205591130161
101.772816565966,82.4965871130933
101.565228750517,82.4728774573594
101.357233546765,82.4494320074101
101.148834588313,82.4262526148751
100.940035563448,82.4033411209746
100.730840215002,82.3806993561249
100.521252340182,82.358329139481
100.311275790384,82.336232278525
100.100914471014,82.3144105686177
99.8901723412637,82.2928657925835
99.6790534138797,82.2715997202633
99.4675617549333,82.2506141080918
99.255701483543,82.2299106986653
99.0434767715982,82.209491220293
98.8308918434776,82.1893573865806
98.6179509757159,82.1695108959944
98.4046584966884,82.1499534314168
98.1910187862668,82.1306866597314
97.9770362754396,82.111712231377
97.7627154459474,82.0930317799294
97.5480608298823,82.0746469216742
97.3330770092629,82.0565592551637
97.1177686156133,82.0387703608128
96.9021403295153,82.0212818004595
96.6861968801289,82.0040951169534
96.4699430447209,81.9872118337378
96.253383648168,81.9706334544302
96.0365235624227,81.9543614624098
95.8193677059979,81.9383973203985
95.601921043401,81.9227424700791
95.3841885845817,81.9073983316622
95.1661753843354,81.892366303512
94.9478865417029,81.8776477617343
94.7293271993638,81.8632440597865
94.5105025429941,81.8491565281003
94.2914178006135,81.8353864736858
94.0720782419327,81.821935179763
93.8524891776629,81.8088039053914
93.6326559588125,81.795993885085
93.4125839759934,81.7835063284708
93.192278658676,81.7713424199149
92.9717454744488,81.7595033181817
92.750989928273,81.7479901560913
92.5300175616908,81.7368040401621
92.3088339520536,81.7259460503069
92.0874447117179,81.7154172394734
91.8658554872205,81.7052186333522
91.6440719584607,81.6953512300554
91.4220998378596,81.685815999812
91.1999448694893,81.6766138846601
90.9776128282199,81.6677457981741
90.7551095188381,81.6592126251662
90.5324407751399,81.6510152214228
90.3096124590444,81.6431544134378
90.0866304596681,81.6356309981413
89.8635006923913,81.628445742662
89.6402290979354,81.6215993840892
89.4168216413968,81.6150926292154
89.1932843113027,81.6089261543464
88.9696231186319,81.6031006050623
88.745844095839,81.5976165960123
88.5219532958713,81.5924747107344
88.2979567911678,81.587675501452
88.0738606726549,81.5832194888971
87.8496710487395,81.5791071621531
87.6253940442807,81.5753389784759
87.4010357995787,81.57191536318
87.1766024693214,81.5688367094556
86.9521002215627,81.5661033782717
86.7275352366652,81.5637156982384
86.5029137062631,81.5616739655159
86.2782418321904,81.5599784437007
86.0535258254392,81.5586293637386
85.8287719050844,81.557626923854
85.6039862972193,81.5569712894833
85.3791752338919,81.5566625932022
85.154344952026,81.5567009346987
84.9295016923431,81.5570863807209
84.7046516983008,81.5578189650605
84.4798012150051,81.5588986885377
84.2549564881293,81.5603255189968
84.030123762846,81.5620993912978
83.8053092827402,81.5642202073492
83.580519288736,81.566687836137
83.3557600180248,81.5695021137469
83.1310377029823,81.5726628434295
82.9063585700989,81.576169795644
82.6817288389137,81.5800227081276
82.4571547209425,81.5842212859951
82.2326424186159,81.5887652018043
82.0081981242293,81.5936540956724
81.7838280188659,81.5988875753775
81.5595382713644,81.6044652164779
81.3353350372757,81.6103865624533
81.1112244578023,81.61665112483
80.8872126587897,81.6232583833502
80.6633057496905,81.6302077861167
80.4395098225306,81.6374987497637
80.2158309509255,81.6451306596542
79.9922751890399,81.6531028700394
79.768848570628,81.6614147042831
79.5455571080211,81.6700654550611
79.3224067911538,81.6790543845786
79.0994035866001,81.6883807247862
